root_id,classification_system,cell_type,num_synapses
720575940622360358,flow,afferent,497
720575940604865312,flow,afferent,7493
720575940623064909,flow,afferent,3268
720575940615288276,flow,afferent,667
720575940624389316,flow,afferent,478
720575940623496521,flow,afferent,699
720575940624109340,flow,afferent,837
720575940615735711,flow,afferent,1288
720575940619559232,flow,afferent,3887
720575940628358533,flow,afferent,1836
720575940627271230,flow,afferent,1403
720575940653496822,flow,afferent,550
720575940618942721,flow,afferent,2709
720575940626404429,flow,afferent,1297
720575940628754453,flow,afferent,2207
720575940629591793,flow,afferent,2440
720575940640748195,flow,afferent,519
720575940612861077,flow,afferent,6541
720575940618957825,flow,afferent,7665
720575940646473838,flow,afferent,3887
720575940629941507,flow,afferent,682
720575940628285450,flow,afferent,1346
720575940642352117,flow,afferent,818
720575940621314836,flow,afferent,1611
720575940621318420,flow,afferent,973
720575940640837027,flow,afferent,794
720575940631680763,flow,afferent,746
720575940615455230,flow,afferent,419
720575940622002086,flow,afferent,2349
720575940631530348,flow,afferent,1552
720575940626767152,flow,afferent,1642
720575940633142831,flow,afferent,3058
720575940633968045,flow,afferent,1537
720575940623195725,flow,afferent,1885
720575940614332899,flow,afferent,1058
720575940640554045,flow,afferent,2426
720575940638985050,flow,afferent,2811
720575940624448138,flow,afferent,6480
720575940632381970,flow,afferent,4582
720575940632996920,flow,afferent,4749
720575940629567473,flow,afferent,1751
720575940620057502,flow,afferent,855
720575940645686564,flow,afferent,1504
720575940633895469,flow,afferent,2101
720575940632812867,flow,afferent,838
720575940613403378,flow,afferent,4581
720575940620983637,flow,afferent,523
720575940613261810,flow,afferent,7166
720575940628344074,flow,afferent,8008
720575940613608089,flow,afferent,1252
720575940637321847,flow,afferent,1749
720575940621378580,flow,afferent,721
720575940608369026,flow,afferent,630
720575940622323382,flow,afferent,4010
720575940622947333,flow,afferent,3374
720575940621590720,flow,afferent,577
720575940614381283,flow,afferent,1246
720575940636645624,flow,afferent,1322
720575940638086256,flow,afferent,2324
720575940620217782,flow,afferent,770
720575940625837799,flow,afferent,1338
720575940608324994,flow,afferent,622
720575940622685367,flow,afferent,512
720575940617143124,flow,afferent,837
720575940627177800,flow,afferent,1418
720575940622912500,flow,afferent,1465
720575940614380771,flow,afferent,945
720575940640373557,flow,afferent,1986
720575940613785041,flow,afferent,597
720575940635399160,flow,afferent,575
720575940629176007,flow,afferent,3980
720575940619051009,flow,afferent,420
720575940621079431,flow,afferent,424
720575940640912291,flow,afferent,1564
720575940616332381,flow,afferent,3894
720575940620731608,flow,afferent,3877
720575940623497340,flow,afferent,1534
720575940634733537,flow,afferent,878
720575940624045155,flow,afferent,787
