root_id,classification_system,cell_type,num_synapses
720575940604865312,cell_class,AN,7493
720575940623064909,cell_class,AN,3268
720575940615288276,cell_class,AN,667
720575940624109340,cell_class,AN,837
720575940619559232,cell_class,AN,3887
720575940628358533,cell_class,AN,1836
720575940618942721,cell_class,AN,2709
720575940626404429,cell_class,AN,1297
720575940628754453,cell_class,AN,2207
720575940629591793,cell_class,AN,2440
720575940612861077,cell_class,AN,6541
720575940618957825,cell_class,AN,7665
720575940646473838,cell_class,AN,3887
720575940629941507,cell_class,AN,682
720575940621314836,cell_class,AN,1611
720575940621318420,cell_class,AN,973
720575940622002086,cell_class,AN,2349
720575940631530348,cell_class,AN,1552
720575940633142831,cell_class,AN,3058
720575940623195725,cell_class,AN,1885
720575940638985050,cell_class,AN,2811
720575940624448138,cell_class,AN,6480
720575940632381970,cell_class,AN,4582
720575940632996920,cell_class,AN,4749
720575940613403378,cell_class,AN,4581
720575940613261810,cell_class,AN,7166
720575940613608089,cell_class,AN,1252
720575940622323382,cell_class,AN,4010
720575940622947333,cell_class,AN,3374
720575940614381283,cell_class,AN,1246
720575940625837799,cell_class,AN,1338
720575940617143124,cell_class,AN,837
720575940627177800,cell_class,AN,1418
720575940622912500,cell_class,AN,1465
720575940614380771,cell_class,AN,945
720575940640373557,cell_class,AN,1986
720575940629176007,cell_class,AN,3980
720575940640912291,cell_class,AN,1564
720575940620731608,cell_class,AN,3877
720575940623497340,cell_class,AN,1534
720575940603801056,cell_class,AN,3002
720575940645995543,cell_class,AN,7037
720575940630021392,cell_class,AN,3906
720575940622021117,cell_class,AN,738
720575940633209996,cell_class,AN,3255
720575940623997539,cell_class,AN,712
720575940627378950,cell_class,AN,10461
720575940624180519,cell_class,AN,2245
720575940627404090,cell_class,AN,3274
720575940619841886,cell_class,AN,1097
720575940620677302,cell_class,AN,989
720575940637955968,cell_class,AN,595
720575940629965932,cell_class,AN,2663
720575940628548711,cell_class,AN,5146
720575940627824712,cell_class,AN,5270
720575940644666916,cell_class,AN,2565
720575940623118029,cell_class,AN,6457
720575940627348712,cell_class,AN,750
720575940630763724,cell_class,AN,719
720575940626339130,cell_class,AN,6465
720575940642422157,cell_class,AN,20573
720575940611932842,cell_class,AN,8249
720575940646554659,cell_class,AN,1769
720575940645413940,cell_class,AN,561
720575940620670657,cell_class,AN,8106
720575940611853265,cell_class,AN,962
720575940629528380,cell_class,AN,1014
720575940611877841,cell_class,AN,7575
720575940605223601,cell_class,AN,505
720575940628428443,cell_class,AN,6401
720575940613439903,cell_class,AN,704
720575940613882822,cell_class,AN,402
720575940614438685,cell_class,AN,5192
720575940628598142,cell_class,AN,4746
720575940616862550,cell_class,AN,519
720575940634626144,cell_class,AN,3578
720575940618401605,cell_class,AN,407
720575940628651369,cell_class,AN,463
720575940632754003,cell_class,AN,4903
720575940620718605,cell_class,AN,2549
720575940620742605,cell_class,AN,860
720575940627488252,cell_class,AN,584
720575940621114974,cell_class,AN,9520
720575940622517784,cell_class,AN,750
720575940627538690,cell_class,AN,2214
720575940612331618,cell_class,AN,1927
720575940629306667,cell_class,AN,3042
720575940628209801,cell_class,AN,2755
720575940628644239,cell_class,AN,1271
720575940623400629,cell_class,AN,2770
720575940625526805,cell_class,AN,1844
720575940623817776,cell_class,AN,7973
720575940619202901,cell_class,AN,14749
720575940629972983,cell_class,AN,1304
720575940634584312,cell_class,AN,3544
720575940632015699,cell_class,AN,6102
720575940629630520,cell_class,AN,9340
720575940616449093,cell_class,AN,10284
720575940627546750,cell_class,AN,3481
720575940624822003,cell_class,AN,1998
720575940627108967,cell_class,AN,520
720575940606401970,cell_class,AN,1026
720575940620066142,cell_class,AN,1813
720575940627697664,cell_class,AN,5573
720575940628552054,cell_class,AN,5259
720575940621013517,cell_class,AN,1052
720575940631401698,cell_class,AN,459
720575940619801793,cell_class,AN,1424
720575940617484248,cell_class,AN,1273
720575940627881728,cell_class,AN,972
720575940633366498,cell_class,AN,1306
720575940613706546,cell_class,AN,2933
720575940620373469,cell_class,AN,2598
720575940613266026,cell_class,AN,477
720575940606346332,cell_class,AN,1288
720575940619533483,cell_class,AN,903
720575940627493638,cell_class,AN,5273
720575940611778713,cell_class,AN,1312
720575940611904296,cell_class,AN,6775
