root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,ratio_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA,ACh,Glut,Oct,Ser,DA,Unknown
720575940612409059,cell_class,AN,7643,400,0.25,0.16,0.14285714285714285,0.01,True,True,False,False,True,False,False
720575940612409059,cell_class,AN,7643,400,0.25,0.16,0.04,0.01,True,True,False,False,False,False,False
720575940620833901,cell_class,AN,14080,400,0.25,0.16,0.14285714285714285,0.01,False,True,True,True,True,True,False
720575940620833901,cell_class,AN,14080,400,0.25,0.16,0.04,0.01,False,True,False,True,True,False,False
720575940638700707,cell_class,AN,6080,400,0.25,0.16,0.14285714285714285,0.01,False,True,True,False,True,False,False
720575940638700707,cell_class,AN,6080,400,0.25,0.16,0.04,0.01,False,True,True,False,False,False,False
720575940633416604,cell_class,AN,7012,400,0.25,0.16,0.14285714285714285,0.01,False,True,True,False,False,False,False
720575940633416604,cell_class,AN,7012,400,0.25,0.16,0.04,0.01,False,True,False,False,False,False,False
720575940645007748,cell_class,AN,665,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940645007748,cell_class,AN,665,400,0.25,0.16,0.04,0.01,True,True,True,False,True,True,False
720575940616832901,cell_class,AN,2120,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,False,False
720575940616832901,cell_class,AN,2120,400,0.25,0.16,0.04,0.01,True,True,True,False,False,False,False
720575940616224576,cell_class,AN,1099,400,0.25,0.16,0.14285714285714285,0.01,True,True,False,False,True,True,False
720575940616224576,cell_class,AN,1099,400,0.25,0.16,0.04,0.01,True,True,False,False,True,False,False
720575940635206763,cell_class,AN,776,400,0.25,0.16,0.14285714285714285,0.01,False,True,False,False,False,True,False
720575940635206763,cell_class,AN,776,400,0.25,0.16,0.04,0.01,False,True,False,False,False,False,False
720575940618192694,cell_class,AN,4175,400,0.25,0.16,0.14285714285714285,0.01,False,True,False,False,False,False,False
720575940618192694,cell_class,AN,4175,400,0.25,0.16,0.04,0.01,False,True,False,False,False,False,False
720575940660211841,cell_class,AN,1096,400,0.25,0.16,0.14285714285714285,0.01,False,True,False,False,True,False,False
720575940660211841,cell_class,AN,1096,400,0.25,0.16,0.04,0.01,False,True,False,False,False,False,False
720575940611514282,cell_class,AN,1779,400,0.25,0.16,0.14285714285714285,0.01,False,True,True,False,True,True,False
