root_id,classification_system,cell_type,num_synapses
720575940628673474,cell_class,gustatory,1682
720575940625507870,cell_class,gustatory,565
720575940621375231,cell_class,gustatory,1243
720575940635791167,cell_class,gustatory,620
720575940629270339,cell_class,gustatory,675
720575940617937543,cell_class,gustatory,1455
720575940615274425,cell_class,gustatory,1644
720575940645743412,cell_class,gustatory,1973
720575940613061118,cell_class,gustatory,2160
720575940624079544,cell_class,gustatory,1588
720575940612670570,cell_class,gustatory,1692
720575940629176663,cell_class,gustatory,992
720575940632425919,cell_class,gustatory,2188
720575940630233916,cell_class,gustatory,1632
720575940622298631,cell_class,gustatory,903
720575940609919897,cell_class,gustatory,696
720575940621008895,cell_class,gustatory,751
720575940626016017,cell_class,gustatory,966
720575940610481370,cell_class,gustatory,1117
720575940627578156,cell_class,gustatory,1027
720575940602353632,cell_class,gustatory,1146
720575940614281266,cell_class,gustatory,872
720575940627490663,cell_class,gustatory,692
720575940621502051,cell_class,gustatory,983
720575940614273292,cell_class,gustatory,1575
720575940618025199,cell_class,gustatory,2316
720575940629481516,cell_class,gustatory,1899
720575940610683315,cell_class,gustatory,1140
720575940630968335,cell_class,gustatory,981
720575940619072513,cell_class,gustatory,1992
720575940630702789,cell_class,gustatory,538
720575940622585224,cell_class,gustatory,421
720575940637747519,cell_class,gustatory,866
720575940625752778,cell_class,gustatory,984
720575940628329546,cell_class,gustatory,2456
720575940635392910,cell_class,gustatory,875
720575940632293346,cell_class,gustatory,1791
720575940620575579,cell_class,gustatory,680
720575940638312262,cell_class,gustatory,577
720575940621916952,cell_class,gustatory,6082
720575940640601563,cell_class,gustatory,7615
720575940620856046,cell_class,gustatory,1389
720575940622731229,cell_class,gustatory,1300
720575940631393484,cell_class,gustatory,670
720575940629388135,cell_class,gustatory,1948
720575940621898665,cell_class,gustatory,770
720575940614734186,cell_class,gustatory,1573
720575940618788944,cell_class,gustatory,5750
720575940625173006,cell_class,gustatory,599
720575940610981362,cell_class,gustatory,8297
720575940623834300,cell_class,gustatory,4279
720575940622371037,cell_class,gustatory,1451
720575940616791067,cell_class,gustatory,529
720575940627219272,cell_class,gustatory,552
720575940625032548,cell_class,gustatory,3318
720575940626015242,cell_class,gustatory,3887
720575940633660314,cell_class,gustatory,702
720575940635005303,cell_class,gustatory,859
720575940639555928,cell_class,gustatory,590
720575940619387814,cell_class,gustatory,2059
720575940617121819,cell_class,gustatory,3851
720575940646212996,cell_class,gustatory,2425
720575940624948867,cell_class,gustatory,3084
720575940629009468,cell_class,gustatory,4777
720575940627454569,cell_class,gustatory,5100
720575940609913042,cell_class,gustatory,8225
720575940617828766,cell_class,gustatory,4544
720575940639043280,cell_class,gustatory,1977
720575940632423394,cell_class,gustatory,2618
720575940633791935,cell_class,gustatory,5917
720575940621870349,cell_class,gustatory,2382
720575940610259406,cell_class,gustatory,2854
720575940637130985,cell_class,gustatory,7390
720575940633143833,cell_class,gustatory,2174
720575940638419534,cell_class,gustatory,6826
720575940630195909,cell_class,gustatory,729
720575940622346180,cell_class,gustatory,3295
720575940645332259,cell_class,gustatory,953
720575940625163790,cell_class,gustatory,3413
720575940611018714,cell_class,gustatory,1952
720575940631020079,cell_class,gustatory,726
720575940610474610,cell_class,gustatory,764
720575940604852146,cell_class,gustatory,809
720575940623660558,cell_class,gustatory,7065
720575940630893196,cell_class,gustatory,7179
720575940611211417,cell_class,gustatory,6906
720575940619928929,cell_class,gustatory,6936
720575940616616861,cell_class,gustatory,6223
720575940633165980,cell_class,gustatory,5430
720575940626217226,cell_class,gustatory,5238
720575940626983952,cell_class,gustatory,4303
720575940616885538,cell_class,gustatory,993
720575940629358807,cell_class,gustatory,5534
720575940628131778,cell_class,gustatory,3637
720575940624963786,cell_class,gustatory,1490
720575940622405708,cell_class,gustatory,1152
720575940612950568,cell_class,gustatory,1322
720575940626014218,cell_class,gustatory,2708
720575940639198653,cell_class,gustatory,2532
720575940638218173,cell_class,gustatory,1217
720575940627821896,cell_class,gustatory,1099
720575940658442625,cell_class,gustatory,4842
720575940637580102,cell_class,gustatory,1166
720575940612920386,cell_class,gustatory,1659
720575940610483162,cell_class,gustatory,2386
720575940626241636,cell_class,gustatory,1801
720575940628832256,cell_class,gustatory,1904
720575940625750105,cell_class,gustatory,2174
720575940628853239,cell_class,gustatory,1902
720575940603266592,cell_class,gustatory,2172
720575940617398502,cell_class,gustatory,1753
720575940624604560,cell_class,gustatory,1519
720575940631331855,cell_class,gustatory,1801
720575940616167218,cell_class,gustatory,989
720575940610259370,cell_class,gustatory,795
720575940638202345,cell_class,gustatory,1658
720575940635391845,cell_class,gustatory,2052
720575940629146711,cell_class,gustatory,1501
720575940639259967,cell_class,gustatory,2125
720575940628962407,cell_class,gustatory,587
720575940610788069,cell_class,gustatory,1302
720575940608305161,cell_class,gustatory,1282
720575940617000768,cell_class,gustatory,1172
720575940610296622,cell_class,gustatory,673
720575940637568838,cell_class,gustatory,1010
720575940630597839,cell_class,gustatory,1557
720575940622853011,cell_class,gustatory,1503
720575940606205897,cell_class,gustatory,1081
720575940614211295,cell_class,gustatory,1656
720575940623172843,cell_class,gustatory,924
720575940611849178,cell_class,gustatory,1582
720575940638813016,cell_class,gustatory,1667
720575940624266061,cell_class,gustatory,5480
720575940630552151,cell_class,gustatory,458
720575940609306563,cell_class,gustatory,460
720575940629416318,cell_class,gustatory,515
720575940614163367,cell_class,gustatory,1139
