root_id,classification_system,cell_type,num_synapses
720575940615735711,cell_class,mechanosensory,1288
720575940640748195,cell_class,mechanosensory,519
720575940642352117,cell_class,mechanosensory,818
720575940615455230,cell_class,mechanosensory,419
720575940633968045,cell_class,mechanosensory,1537
720575940614332899,cell_class,mechanosensory,1058
720575940620057502,cell_class,mechanosensory,855
720575940632812867,cell_class,mechanosensory,838
720575940637321847,cell_class,mechanosensory,1749
720575940608369026,cell_class,mechanosensory,630
720575940636645624,cell_class,mechanosensory,1322
720575940616332381,cell_class,mechanosensory,3894
720575940615041064,cell_class,mechanosensory,1237
720575940613684370,cell_class,mechanosensory,1168
720575940630009794,cell_class,mechanosensory,2902
720575940607367125,cell_class,mechanosensory,1752
720575940616064546,cell_class,mechanosensory,2449
720575940628159081,cell_class,mechanosensory,469
720575940613304883,cell_class,mechanosensory,1660
720575940632466784,cell_class,mechanosensory,681
720575940609541917,cell_class,mechanosensory,2201
720575940622297855,cell_class,mechanosensory,1036
720575940636990005,cell_class,mechanosensory,520
720575940621861119,cell_class,mechanosensory,1114
720575940612886695,cell_class,mechanosensory,426
720575940633335450,cell_class,mechanosensory,425
720575940643241508,cell_class,mechanosensory,410
720575940634619759,cell_class,mechanosensory,438
720575940620092656,cell_class,mechanosensory,518
720575940618818580,cell_class,mechanosensory,701
720575940626522910,cell_class,mechanosensory,2360
720575940626565455,cell_class,mechanosensory,1431
720575940620444654,cell_class,mechanosensory,1072
720575940625095813,cell_class,mechanosensory,775
720575940615458594,cell_class,mechanosensory,727
720575940610146713,cell_class,mechanosensory,610
720575940613992565,cell_class,mechanosensory,856
720575940620119005,cell_class,mechanosensory,631
720575940628100614,cell_class,mechanosensory,558
720575940625087546,cell_class,mechanosensory,433
720575940627704375,cell_class,mechanosensory,404
720575940622217992,cell_class,mechanosensory,537
720575940629719404,cell_class,mechanosensory,509
720575940622179497,cell_class,mechanosensory,805
720575940629199402,cell_class,mechanosensory,716
720575940638529525,cell_class,mechanosensory,406
720575940609543197,cell_class,mechanosensory,431
720575940627523584,cell_class,mechanosensory,529
720575940618888368,cell_class,mechanosensory,566
720575940639904475,cell_class,mechanosensory,1354
720575940625703434,cell_class,mechanosensory,633
720575940642517284,cell_class,mechanosensory,496
720575940604299454,cell_class,mechanosensory,402
720575940634923621,cell_class,mechanosensory,667
720575940609530653,cell_class,mechanosensory,843
720575940640591861,cell_class,mechanosensory,611
720575940635968745,cell_class,mechanosensory,540
720575940628649465,cell_class,mechanosensory,492
720575940633153375,cell_class,mechanosensory,1558
720575940631098338,cell_class,mechanosensory,523
720575940628978409,cell_class,mechanosensory,2073
720575940628444667,cell_class,mechanosensory,1577
720575940627941431,cell_class,mechanosensory,1814
720575940624799290,cell_class,mechanosensory,1334
720575940625962568,cell_class,mechanosensory,1645
720575940611061526,cell_class,mechanosensory,1711
720575940627109991,cell_class,mechanosensory,904
720575940629650997,cell_class,mechanosensory,987
720575940634634606,cell_class,mechanosensory,1089
720575940613971485,cell_class,mechanosensory,964
720575940652566177,cell_class,mechanosensory,527
720575940629055721,cell_class,mechanosensory,822
720575940626042149,cell_class,mechanosensory,732
720575940629022149,cell_class,mechanosensory,1615
720575940615848788,cell_class,mechanosensory,1496
720575940614351477,cell_class,mechanosensory,520
720575940624915230,cell_class,mechanosensory,998
720575940615986459,cell_class,mechanosensory,2059
720575940621442224,cell_class,mechanosensory,1490
720575940622449388,cell_class,mechanosensory,1522
720575940630059847,cell_class,mechanosensory,1704
720575940611783464,cell_class,mechanosensory,1573
720575940621729757,cell_class,mechanosensory,1056
720575940632767383,cell_class,mechanosensory,861
720575940602506208,cell_class,mechanosensory,1178
720575940602132509,cell_class,mechanosensory,1148
720575940630080071,cell_class,mechanosensory,1769
720575940617534110,cell_class,mechanosensory,557
720575940614035485,cell_class,mechanosensory,720
720575940630070343,cell_class,mechanosensory,448
720575940621625597,cell_class,mechanosensory,1433
720575940638664437,cell_class,mechanosensory,1065
720575940618941037,cell_class,mechanosensory,522
720575940623312828,cell_class,mechanosensory,886
720575940600646173,cell_class,mechanosensory,1389
720575940620649641,cell_class,mechanosensory,511
720575940635545310,cell_class,mechanosensory,428
720575940622937528,cell_class,mechanosensory,1414
720575940627049731,cell_class,mechanosensory,1126
720575940616589878,cell_class,mechanosensory,1341
720575940626309438,cell_class,mechanosensory,1233
720575940615469785,cell_class,mechanosensory,961
720575940628903247,cell_class,mechanosensory,898
720575940625605905,cell_class,mechanosensory,408
720575940632615379,cell_class,mechanosensory,1357
720575940606154370,cell_class,mechanosensory,599
720575940620543110,cell_class,mechanosensory,856
720575940604122982,cell_class,mechanosensory,426
720575940609486690,cell_class,mechanosensory,917
720575940637410869,cell_class,mechanosensory,669
720575940627282279,cell_class,mechanosensory,1050
720575940604241510,cell_class,mechanosensory,1139
720575940619998228,cell_class,mechanosensory,2963
720575940627104649,cell_class,mechanosensory,407
720575940629985900,cell_class,mechanosensory,581
720575940637792233,cell_class,mechanosensory,536
720575940623017769,cell_class,mechanosensory,1321
720575940633058989,cell_class,mechanosensory,1250
720575940629743063,cell_class,mechanosensory,659
720575940611273395,cell_class,mechanosensory,1442
720575940620243183,cell_class,mechanosensory,1323
720575940622099405,cell_class,mechanosensory,652
720575940619694040,cell_class,mechanosensory,802
720575940617066653,cell_class,mechanosensory,471
720575940623474871,cell_class,mechanosensory,444
720575940613309359,cell_class,mechanosensory,574
720575940622638276,cell_class,mechanosensory,676
720575940631272003,cell_class,mechanosensory,455
720575940621272865,cell_class,mechanosensory,619
720575940627372184,cell_class,mechanosensory,454
720575940623292925,cell_class,mechanosensory,443
720575940612029081,cell_class,mechanosensory,835
720575940608487772,cell_class,mechanosensory,932
720575940630530263,cell_class,mechanosensory,584
720575940627821553,cell_class,mechanosensory,1847
720575940644439860,cell_class,mechanosensory,1693
720575940620937897,cell_class,mechanosensory,507
720575940621776227,cell_class,mechanosensory,1363
720575940620673663,cell_class,mechanosensory,3799
720575940617807227,cell_class,mechanosensory,1134
720575940637078591,cell_class,mechanosensory,770
720575940637107312,cell_class,mechanosensory,1104
720575940626574108,cell_class,mechanosensory,4250
720575940611000499,cell_class,mechanosensory,1825
720575940623313961,cell_class,mechanosensory,1094
720575940628134526,cell_class,mechanosensory,1143
720575940622204585,cell_class,mechanosensory,2079
720575940625472277,cell_class,mechanosensory,861
720575940622927242,cell_class,mechanosensory,683
720575940611939314,cell_class,mechanosensory,410
720575940635254117,cell_class,mechanosensory,1913
720575940625101360,cell_class,mechanosensory,2363
720575940608763460,cell_class,mechanosensory,954
720575940616383389,cell_class,mechanosensory,414
720575940638092366,cell_class,mechanosensory,1816
720575940618760432,cell_class,mechanosensory,1654
720575940625040973,cell_class,mechanosensory,857
720575940621286102,cell_class,mechanosensory,2165
720575940642063245,cell_class,mechanosensory,1068
720575940631467565,cell_class,mechanosensory,510
720575940632002017,cell_class,mechanosensory,3098
720575940618609799,cell_class,mechanosensory,2494
720575940631034936,cell_class,mechanosensory,3816
720575940616287449,cell_class,mechanosensory,2391
720575940623042539,cell_class,mechanosensory,5083
720575940625836925,cell_class,mechanosensory,2919
720575940624833673,cell_class,mechanosensory,3769
720575940623637995,cell_class,mechanosensory,940
720575940620593840,cell_class,mechanosensory,4283
720575940619360065,cell_class,mechanosensory,3129
720575940625148505,cell_class,mechanosensory,3353
720575940627930630,cell_class,mechanosensory,1256
720575940639196760,cell_class,mechanosensory,3559
720575940644663332,cell_class,mechanosensory,2446
720575940615957563,cell_class,mechanosensory,2302
720575940621791664,cell_class,mechanosensory,540
720575940613698747,cell_class,mechanosensory,2896
720575940629534458,cell_class,mechanosensory,783
720575940626309509,cell_class,mechanosensory,5329
720575940613413374,cell_class,mechanosensory,3445
720575940632080671,cell_class,mechanosensory,2167
720575940621717025,cell_class,mechanosensory,1430
720575940628672122,cell_class,mechanosensory,2944
720575940626093553,cell_class,mechanosensory,2488
720575940620649972,cell_class,mechanosensory,3096
720575940635960462,cell_class,mechanosensory,3401
720575940624391667,cell_class,mechanosensory,1989
720575940619934411,cell_class,mechanosensory,3473
720575940618363072,cell_class,mechanosensory,4316
720575940615035323,cell_class,mechanosensory,2581
720575940635549364,cell_class,mechanosensory,2042
720575940613167766,cell_class,mechanosensory,4633
720575940631291666,cell_class,mechanosensory,4013
720575940635962254,cell_class,mechanosensory,4142
720575940629004158,cell_class,mechanosensory,3949
720575940609644498,cell_class,mechanosensory,4567
720575940629917471,cell_class,mechanosensory,1555
720575940614336739,cell_class,mechanosensory,3873
720575940613657650,cell_class,mechanosensory,703
720575940630251095,cell_class,mechanosensory,5919
720575940633358431,cell_class,mechanosensory,5105
720575940624154928,cell_class,mechanosensory,2439
720575940615097275,cell_class,mechanosensory,4048
720575940621294412,cell_class,mechanosensory,1890
720575940611070020,cell_class,mechanosensory,2749
720575940616286395,cell_class,mechanosensory,4445
720575940638726717,cell_class,mechanosensory,1195
720575940622198230,cell_class,mechanosensory,1028
720575940638280270,cell_class,mechanosensory,1462
720575940626933959,cell_class,mechanosensory,4930
720575940622589419,cell_class,mechanosensory,3227
720575940637619007,cell_class,mechanosensory,415
720575940623729968,cell_class,mechanosensory,514
720575940620687707,cell_class,mechanosensory,4406
720575940611308261,cell_class,mechanosensory,3233
720575940625381397,cell_class,mechanosensory,3006
720575940639166080,cell_class,mechanosensory,1280
720575940609685624,cell_class,mechanosensory,1205
720575940627854595,cell_class,mechanosensory,1272
720575940621171700,cell_class,mechanosensory,1347
720575940628996867,cell_class,mechanosensory,733
720575940621805261,cell_class,mechanosensory,2689
720575940633869281,cell_class,mechanosensory,2544
720575940611132890,cell_class,mechanosensory,2905
720575940626988231,cell_class,mechanosensory,990
720575940618603179,cell_class,mechanosensory,978
720575940627488455,cell_class,mechanosensory,3265
720575940626857368,cell_class,mechanosensory,2579
720575940625351461,cell_class,mechanosensory,2516
720575940627209734,cell_class,mechanosensory,2094
720575940629941356,cell_class,mechanosensory,2233
720575940622749709,cell_class,mechanosensory,419
720575940625871248,cell_class,mechanosensory,1946
720575940635086234,cell_class,mechanosensory,2445
720575940638284607,cell_class,mechanosensory,3068
720575940622447242,cell_class,mechanosensory,1801
720575940618173787,cell_class,mechanosensory,1985
720575940632361111,cell_class,mechanosensory,1823
720575940618558769,cell_class,mechanosensory,741
720575940627327938,cell_class,mechanosensory,1948
720575940631406667,cell_class,mechanosensory,1917
720575940614041117,cell_class,mechanosensory,1720
720575940618078299,cell_class,mechanosensory,2131
720575940603728561,cell_class,mechanosensory,1639
720575940630098243,cell_class,mechanosensory,1536
720575940625179918,cell_class,mechanosensory,1743
720575940624338521,cell_class,mechanosensory,1507
720575940613425459,cell_class,mechanosensory,2154
720575940618599872,cell_class,mechanosensory,2005
720575940618927024,cell_class,mechanosensory,2065
720575940622529939,cell_class,mechanosensory,1527
720575940633378411,cell_class,mechanosensory,2079
720575940608658205,cell_class,mechanosensory,1584
720575940626031548,cell_class,mechanosensory,4223
720575940635345519,cell_class,mechanosensory,1039
720575940638431029,cell_class,mechanosensory,1032
720575940628527439,cell_class,mechanosensory,1041
720575940645728803,cell_class,mechanosensory,1380
720575940625003964,cell_class,mechanosensory,507
720575940609289284,cell_class,mechanosensory,838
720575940618293406,cell_class,mechanosensory,731
720575940631463495,cell_class,mechanosensory,605
720575940625489764,cell_class,mechanosensory,1208
720575940628495447,cell_class,mechanosensory,893
720575940631370336,cell_class,mechanosensory,939
720575940618861873,cell_class,mechanosensory,1106
720575940605929161,cell_class,mechanosensory,625
720575940638064100,cell_class,mechanosensory,632
720575940632618148,cell_class,mechanosensory,599
720575940639601752,cell_class,mechanosensory,665
720575940629531095,cell_class,mechanosensory,1003
720575940617245908,cell_class,mechanosensory,487
720575940621244510,cell_class,mechanosensory,431
720575940630174268,cell_class,mechanosensory,421
720575940614280554,cell_class,mechanosensory,486
720575940613783038,cell_class,mechanosensory,603
720575940614803266,cell_class,mechanosensory,631
720575940634891700,cell_class,mechanosensory,527
720575940630425285,cell_class,mechanosensory,822
720575940628218011,cell_class,mechanosensory,937
720575940620953254,cell_class,mechanosensory,807
720575940643000480,cell_class,mechanosensory,477
720575940632164772,cell_class,mechanosensory,1018
720575940616793300,cell_class,mechanosensory,473
720575940622683174,cell_class,mechanosensory,980
720575940615276661,cell_class,mechanosensory,965
720575940635672677,cell_class,mechanosensory,1353
720575940628054760,cell_class,mechanosensory,921
720575940634640091,cell_class,mechanosensory,802
720575940635959919,cell_class,mechanosensory,408
720575940609065173,cell_class,mechanosensory,580
720575940639041443,cell_class,mechanosensory,920
720575940623300137,cell_class,mechanosensory,436
720575940617426973,cell_class,mechanosensory,427
720575940607853833,cell_class,mechanosensory,447
720575940607208114,cell_class,mechanosensory,563
720575940639339392,cell_class,mechanosensory,802
720575940619663239,cell_class,mechanosensory,802
720575940611029858,cell_class,mechanosensory,676
720575940626270236,cell_class,mechanosensory,537
720575940623928812,cell_class,mechanosensory,454
720575940627085199,cell_class,mechanosensory,464
720575940631539001,cell_class,mechanosensory,1221
720575940615024543,cell_class,mechanosensory,574
720575940635136880,cell_class,mechanosensory,1784
720575940620658310,cell_class,mechanosensory,1353
720575940618078635,cell_class,mechanosensory,1150
720575940634682815,cell_class,mechanosensory,784
720575940616224117,cell_class,mechanosensory,1564
720575940615555257,cell_class,mechanosensory,918
720575940645760820,cell_class,mechanosensory,882
720575940629250775,cell_class,mechanosensory,924
720575940617613392,cell_class,mechanosensory,1847
720575940619729835,cell_class,mechanosensory,891
720575940613934965,cell_class,mechanosensory,551
720575940614427195,cell_class,mechanosensory,427
720575940604531229,cell_class,mechanosensory,1174
720575940638681845,cell_class,mechanosensory,1433
720575940612409885,cell_class,mechanosensory,513
720575940630122015,cell_class,mechanosensory,903
720575940609565230,cell_class,mechanosensory,509
720575940624274924,cell_class,mechanosensory,755
720575940614188149,cell_class,mechanosensory,1319
