root_id,classification_system,cell_type,num_synapses,softmax_threshold,ratio_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA,ACh,Glut,Oct,Ser,DA,Unknown
720575940633771745,cell_type,DNg20,4120,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,False,False
720575940637648485,cell_type,DNg20,4287,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940630980559,cell_type,DNg28,1611,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940630665210,cell_type,DNg28,2459,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940610173048,cell_type,DNg28,2774,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,False,False
720575940621667693,cell_type,DNg28,2977,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940634229871,cell_type,DNg21,3017,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940612376805,cell_type,DNg21,2540,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940624750480,cell_type,DNg24,9241,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,False,False
720575940639118926,cell_type,DNg24,10360,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940605300140,cell_type,DNg26,1606,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940630274459,cell_type,DNg26,1728,0.25,0.16,0.14285714285714285,0.01,True,True,False,True,True,True,False
720575940610610841,cell_type,DNg26,1975,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940625047479,cell_type,DNg26,1912,0.25,0.16,0.14285714285714285,0.01,True,False,False,True,True,True,False
720575940619757366,cell_type,DNg27,7871,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940644666660,cell_type,DNg27,9013,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940628030440,cell_type,DNg22,8110,0.25,0.16,0.14285714285714285,0.01,True,False,False,True,True,True,False
720575940621566844,cell_type,DNg22,5200,0.25,0.16,0.14285714285714285,0.01,False,False,False,False,True,True,False
720575940630054735,cell_type,DNg23,842,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940615505406,cell_type,DNg23,912,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940622579967,cell_type,DNg29,10951,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940607761244,cell_type,DNg29,11104,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
