root_id,classification_system,cell_type,num_synapses,min_synapses,softmax_threshold,ratio_threshold,bandwidth_quantile_value,min_synapses_ratio_value,GABA,ACh,Glut,Oct,Ser,DA,Unknown
720575940645693476,cell_type,DNpe032,1408,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,False,False
720575940645693476,cell_type,DNpe032,1408,400,0.25,0.16,0.04,0.01,True,True,True,True,True,False,False
720575940617552569,cell_type,DNpe032,2856,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940617552569,cell_type,DNpe032,2856,400,0.25,0.16,0.04,0.01,True,True,False,False,True,False,False
720575940623274966,cell_type,DNpe037,7977,400,0.25,0.16,0.14285714285714285,0.01,True,True,False,False,False,True,False
720575940623274966,cell_type,DNpe037,7977,400,0.25,0.16,0.04,0.01,True,True,False,False,False,False,False
720575940635552948,cell_type,DNpe037,7911,400,0.25,0.16,0.14285714285714285,0.01,False,True,True,False,False,True,False
720575940635552948,cell_type,DNpe037,7911,400,0.25,0.16,0.04,0.01,False,True,False,False,False,False,False
720575940632512156,cell_type,DNpe038,711,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940632512156,cell_type,DNpe038,711,400,0.25,0.16,0.04,0.01,False,True,True,True,True,True,False
720575940620625880,cell_type,DNpe038,992,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940620625880,cell_type,DNpe038,992,400,0.25,0.16,0.04,0.01,True,True,True,True,True,True,False
720575940621196037,cell_type,DNpe044,731,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940621196037,cell_type,DNpe044,731,400,0.25,0.16,0.04,0.01,True,True,True,True,True,True,False
720575940622040419,cell_type,DNpe044,1056,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940622040419,cell_type,DNpe044,1056,400,0.25,0.16,0.04,0.01,True,True,False,False,True,True,False
720575940603874784,cell_type,DNpe055,3652,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940603874784,cell_type,DNpe055,3652,400,0.25,0.16,0.04,0.01,True,True,True,False,False,True,False
720575940613558509,cell_type,DNpe055,3585,400,0.25,0.16,0.14285714285714285,0.01,True,True,False,False,True,False,False
720575940613558509,cell_type,DNpe055,3585,400,0.25,0.16,0.04,0.01,True,True,False,False,False,False,False
720575940626806046,cell_type,DNpe039,2826,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940626806046,cell_type,DNpe039,2826,400,0.25,0.16,0.04,0.01,True,True,False,False,False,True,False
720575940607378633,cell_type,DNpe039,2577,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940607378633,cell_type,DNpe039,2577,400,0.25,0.16,0.04,0.01,True,True,False,True,False,True,False
720575940620561840,cell_type,DNpe001,7482,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940620561840,cell_type,DNpe001,7482,400,0.25,0.16,0.04,0.01,True,True,True,False,False,True,False
720575940630106309,cell_type,DNpe001,7153,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,True,False
720575940630106309,cell_type,DNpe001,7153,400,0.25,0.16,0.04,0.01,True,True,False,False,False,True,False
720575940607971337,cell_type,DNpe012,1121,400,0.25,0.16,0.14285714285714285,0.01,True,True,False,False,True,True,False
720575940607971337,cell_type,DNpe012,1121,400,0.25,0.16,0.04,0.01,True,True,False,False,True,True,False
720575940635405719,cell_type,DNpe012,1276,400,0.25,0.16,0.14285714285714285,0.01,True,True,False,False,False,True,False
720575940635405719,cell_type,DNpe012,1276,400,0.25,0.16,0.04,0.01,True,True,False,False,False,False,False
720575940629782072,cell_type,DNpe012,882,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,True,False
720575940629782072,cell_type,DNpe012,882,400,0.25,0.16,0.04,0.01,True,True,True,False,False,True,False
720575940615058216,cell_type,DNpe012,705,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,True,True,False
720575940615058216,cell_type,DNpe012,705,400,0.25,0.16,0.04,0.01,True,True,False,True,True,True,False
720575940622836970,cell_type,DNpe012,784,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,True,True,False
720575940622836970,cell_type,DNpe012,784,400,0.25,0.16,0.04,0.01,True,True,False,False,False,True,False
720575940623528842,cell_type,DNpe012,828,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,True,False,True,False
720575940623528842,cell_type,DNpe012,828,400,0.25,0.16,0.04,0.01,True,True,False,True,False,True,False
720575940639789731,cell_type,DNpe012,1329,400,0.25,0.16,0.14285714285714285,0.01,True,True,True,False,False,True,False
720575940639789731,cell_type,DNpe012,1329,400,0.25,0.16,0.04,0.01,True,True,True,False,False,True,False
720575940629686339,cell_type,DNpe012,646,400,0.25,0.16,0.14285714285714285,0.01,False,True,False,False,True,True,False
720575940629686339,cell_type,DNpe012,646,400,0.25,0.16,0.04,0.01,False,True,False,False,False,False,False
